timestamp,rssi,label
17/042026 11:27:14.379,-41,sitting
17/042026 11:27:14.430,-41,sitting
17/042026 11:27:14.479,-41,sitting
17/042026 11:27:14.529,-41,sitting
17/042026 11:27:14.579,-42,sitting
17/042026 11:27:14.629,-42,sitting
17/042026 11:27:14.680,-42,sitting
17/042026 11:27:14.730,-42,sitting
17/042026 11:27:14.780,-41,sitting
17/042026 11:27:14.829,-41,sitting
17/042026 11:27:14.879,-42,sitting
17/042026 11:27:14.929,-42,sitting
17/042026 11:27:14.979,-41,sitting
17/042026 11:27:15.029,-41,sitting
17/042026 11:27:15.079,-40,sitting
17/042026 11:27:15.130,-40,sitting
17/042026 11:27:15.180,-40,sitting
17/042026 11:27:15.229,-40,sitting
17/042026 11:27:15.279,-42,sitting
17/042026 11:27:15.329,-42,sitting
17/042026 11:27:15.380,-42,sitting
17/042026 11:27:15.430,-42,sitting
17/042026 11:27:15.480,-40,sitting
17/042026 11:27:15.530,-40,sitting
17/042026 11:27:15.579,-42,sitting
17/042026 11:27:15.629,-42,sitting
17/042026 11:27:15.680,-42,sitting
17/042026 11:27:15.729,-42,sitting
17/042026 11:27:15.780,-41,sitting
17/042026 11:27:15.830,-41,sitting
17/042026 11:27:15.880,-42,sitting
17/042026 11:27:15.930,-42,sitting
17/042026 11:27:15.979,-42,sitting
17/042026 11:27:16.029,-42,sitting
17/042026 11:27:16.080,-42,sitting
17/042026 11:27:16.129,-42,sitting
17/042026 11:27:16.180,-41,sitting
17/042026 11:27:16.229,-41,sitting
17/042026 11:27:16.279,-41,sitting
17/042026 11:27:16.330,-41,sitting
17/042026 11:27:16.379,-40,sitting
17/042026 11:27:16.429,-40,sitting
17/042026 11:27:16.480,-41,sitting
17/042026 11:27:16.529,-41,sitting
17/042026 11:27:16.579,-41,sitting
17/042026 11:27:16.630,-41,sitting
17/042026 11:27:16.680,-41,sitting
17/042026 11:27:16.729,-41,sitting
17/042026 11:27:16.779,-41,sitting
17/042026 11:27:16.830,-42,sitting
17/042026 11:27:16.880,-42,sitting
17/042026 11:27:16.929,-42,sitting
17/042026 11:27:16.979,-42,sitting
17/042026 11:27:17.029,-42,sitting
17/042026 11:27:17.079,-42,sitting
17/042026 11:27:17.129,-41,sitting
17/042026 11:27:17.179,-41,sitting
17/042026 11:27:17.229,-41,sitting
17/042026 11:27:17.279,-41,sitting
17/042026 11:27:17.329,-41,sitting
17/042026 11:27:17.380,-41,sitting
17/042026 11:27:17.429,-41,sitting
17/042026 11:27:17.480,-41,sitting
17/042026 11:27:17.530,-39,sitting
17/042026 11:27:17.579,-39,sitting
17/042026 11:27:17.629,-42,sitting
17/042026 11:27:17.679,-42,sitting
17/042026 11:27:17.729,-41,sitting
17/042026 11:27:17.779,-41,sitting
17/042026 11:27:17.829,-39,sitting
17/042026 11:27:17.880,-39,sitting
17/042026 11:27:17.929,-40,sitting
17/042026 11:27:17.979,-40,sitting
17/042026 11:27:18.029,-41,sitting
17/042026 11:27:18.080,-41,sitting
17/042026 11:27:18.130,-41,sitting
17/042026 11:27:18.179,-41,sitting
17/042026 11:27:18.229,-41,sitting
17/042026 11:27:18.280,-41,sitting
17/042026 11:27:18.330,-41,sitting
17/042026 11:27:18.379,-41,sitting
17/042026 11:27:18.430,-41,sitting
17/042026 11:27:18.479,-41,sitting
17/042026 11:27:18.530,-39,sitting
17/042026 11:27:18.579,-39,sitting
17/042026 11:27:18.630,-41,sitting
17/042026 11:27:18.680,-41,sitting
17/042026 11:27:18.729,-41,sitting
17/042026 11:27:18.779,-41,sitting
17/042026 11:27:18.830,-41,sitting
17/042026 11:27:18.880,-42,sitting
17/042026 11:27:18.929,-42,sitting
17/042026 11:27:18.979,-42,sitting
17/042026 11:27:19.030,-42,sitting
17/042026 11:27:19.080,-42,sitting
17/042026 11:27:19.130,-42,sitting
17/042026 11:27:19.179,-42,sitting
17/042026 11:27:19.230,-42,sitting
17/042026 11:27:19.279,-42,sitting
17/042026 11:27:19.329,-42,sitting
17/042026 11:27:19.379,-42,sitting
17/042026 11:27:19.430,-42,sitting
17/042026 11:27:19.480,-42,sitting
17/042026 11:27:19.530,-42,sitting
17/042026 11:27:19.579,-42,sitting
17/042026 11:27:19.629,-42,sitting
17/042026 11:27:19.679,-42,sitting
17/042026 11:27:19.730,-42,sitting
17/042026 11:27:19.779,-42,sitting
17/042026 11:27:19.829,-42,sitting
17/042026 11:27:19.880,-42,sitting
17/042026 11:27:19.929,-42,sitting
17/042026 11:27:19.979,-42,sitting
17/042026 11:27:20.030,-42,sitting
17/042026 11:27:20.079,-41,sitting
17/042026 11:27:20.129,-41,sitting
17/042026 11:27:20.179,-42,sitting
17/042026 11:27:20.230,-42,sitting
17/042026 11:27:20.280,-41,sitting
17/042026 11:27:20.330,-41,sitting
17/042026 11:27:20.379,-41,sitting
17/042026 11:27:20.430,-41,sitting
17/042026 11:27:20.480,-40,sitting
